"mdbf1" "mdbf2" "mdbf3" "mdbf4" "mdbf5" "mdbf6" "mdbf7" "mdbf8" "mdbf9" "mdbf10" "mdbf11" "mdbf12" "time_pre" "lz" "extra" "vertr" "gewis" "neuro" "offen" "prok" "trust" "uni1" "uni2" "uni3" "uni4" "sicher" "angst" "fach" "ziel" "wissen" "therap" "lerntyp" "hand" "job" "ort" "ort12" "wohnen" "attent_pre" "gs_post" "wm_post" "ru_post" "time_post" "attent_post"
"127" 3 2 2 1 1 3 2 4 1 3 1 3 50 5.6 3 4 5 3 2.5 2.5 4.33333333333333 1 1 0 0 3 3 4 4 NA NA 1 2 1 2 1 2 5 3.25 2.75 2.25 32 5
"128" 3 3 1 1 2 3 2 4 1 3 2 3 28 5.8 3 4 3.5 3 3 2.5 3.5 0 1 1 0 3 3 3 4 NA NA 3 2 1 1 1 3 4 3.25 2.5 2.5 22 5
"129" 4 4 1 1 1 3 2 4 1 3 1 3 24 6 4.5 3.5 4 2 5 2.8 3.83333333333333 0 1 1 1 3 3 4 2 3 5 3 2 2 1 2 1 5 3 3 2.75 38 5
"130" 2 3 3 2 3 1 2 3 3 2 2 2 30 4.8 3 4 3 4 2 2.7 4.16666666666667 1 1 0 0 4 4 4 2 3 5 3 2 2 1 2 1 5 3.25 2.5 2.75 28 5
"131" 2 3 4 3 3 1 2 2 3 2 3 3 46 2.8 4 2 4 4 4.5 2.9 3.33333333333333 1 1 0 0 4 4 4 4 2 5 3 2 1 1 1 4 4 2.25 3 3 49 4
"132" 4 3 2 1 2 2 2 4 3 4 1 2 58 6 3.5 4 5 2.5 5 2.6 4.33333333333333 0 1 1 0 4 2 1 1 NA NA 3 2 1 2 1 2 5 3.25 3.25 2 35 5
"133" 3 2 1 1 3 2 2 3 2 2 1 2 28 4 3.5 4 3.5 4 4.5 2.5 2.83333333333333 1 1 0 0 2 3 4 2 4 4 1 2 1 1 1 1 4 2.75 2.5 2.5 23 4
"134" 4 2 1 1 2 4 3 4 1 3 1 3 59 4.6 2 3 4 3 2.5 2.4 4.16666666666667 0 1 0 0 3 1 1 1 4 4 3 2 1 1 1 3 4 2.75 2.5 2 29 4
"135" 4 4 1 1 1 3 1 4 1 4 1 3 29 6 4.5 2 5 2 1.5 2.4 3 0 1 0 1 4 1 4 2 NA NA 1 2 1 1 2 3 5 3.5 3 1.5 42 5
"136" 3 4 2 1 1 4 2 4 2 4 1 4 51 6.4 4.5 3.5 3 2.5 5 2.9 4.16666666666667 0 1 0 1 3 3 2 3 NA NA 3 2 2 1 2 1 5 3.25 2.75 1.5 60 5
"137" 3 2 1 1 3 2 3 3 2 2 1 3 50 6 2 3.5 4.5 4 1.5 2.9 3.66666666666667 0 1 0 1 4 3 2 4 4 4 3 2 1 2 1 2 4 2.75 2.5 2.75 32 5
"138" 3 2 2 3 3 3 3 2 2 2 2 3 33 6.4 3 4.5 4 1.5 2.5 2.7 3.66666666666667 0 1 0 0 3 1 3 2 3 5 1 2 1 1 2 3 5 2.5 2.25 2.25 29 5
"139" 3 2 3 2 3 2 4 3 2 3 1 2 70 3.8 3 3.5 4 3.5 4.5 2.6 3.83333333333333 0 1 1 1 3 3 4 2 NA NA 3 2 1 1 2 3 5 NA NA NA NA NA
"140" 2 2 4 4 3 2 4 2 3 2 3 2 37 3 4 3.5 3.5 1.5 5 2.7 2.5 1 0 0 0 3 3 2 3 NA NA 1 2 2 2 3 1 4 NA NA NA NA NA
"141" 4 2 2 1 2 3 3 4 2 3 1 3 63 6.2 4 3.5 4 2.5 5 2.4 3.83333333333333 0 1 1 0 4 2 4 2 NA NA 3 2 1 2 1 2 5 3 2.5 2.5 54 5
"142" 4 3 2 1 1 2 2 4 2 3 1 3 38 4 NA 4.5 4.5 3 3 2.6 4.16666666666667 0 1 0 0 3 1 5 4 NA NA 1 2 2 2 1 2 5 3.5 2.75 3 31 5
"143" 4 4 2 1 2 4 1 4 3 3 1 4 48 6.4 3.5 4.5 3.5 4 5 2.7 3.66666666666667 0 1 0 0 4 2 4 2 NA NA 3 2 2 1 1 2 5 3 3.5 2.25 30 5
"144" 3 3 2 1 1 2 1 4 3 3 3 3 48 4.8 1.5 2.5 4 4.5 2.5 2.8 3.5 1 1 0 0 3 4 1 2 4 4 3 1 1 1 2 4 5 2.5 3 2.25 104 5
"145" 2 1 2 1 3 1 3 3 1 2 3 2 101 5.6 3 2 4.5 4 2.5 2.8 3.5 0 1 1 0 3 2 1 3 NA NA 1 2 1 2 1 2 5 2.5 3 1.75 35 5
"146" 2 2 2 3 3 4 3 2 2 2 1 3 61 1 3 2 3 2 1 2.9 4 0 1 0 0 4 2 4 2 4 5 1 2 1 2 2 3 5 2.5 2 2.75 37 5
"147" 3 2 3 2 4 3 3 3 3 4 3 2 28 2.6 2 3 3 4 4 2.6 3.83333333333333 0 1 1 0 2 2 2 2 NA NA 1 2 1 1 1 3 5 2 1.75 2.5 18 5
"148" 3 4 1 1 2 4 2 3 1 4 1 3 34 6 4 2.5 3 1.5 5 2.5 3.83333333333333 0 1 0 0 3 2 1 4 NA NA 3 2 1 1 1 3 5 3.5 2.75 2.25 31 5
"149" 3 2 1 1 2 3 4 3 3 2 2 3 59 6.2 3 4 4.5 3 3 2.6 3.66666666666667 0 1 0 0 3 2 1 1 NA NA 3 2 1 2 1 2 5 3 2.25 2.25 50 5
"150" 3 2 4 1 3 1 3 3 4 3 1 2 86 4 3 4 3.5 4.5 4 2.8 3.33333333333333 0 1 0 1 4 2 1 NA 5 5 3 1 1 1 1 4 4 2.75 2 3 80 4
"151" 3 3 1 1 1 3 2 3 1 2 1 3 60 5 4.5 3 4 2.5 2.5 2.7 3 0 1 0 0 4 2 5 2 NA NA 1 2 1 1 2 4 5 3.25 3.25 2 31 5
"152" 3 4 1 1 2 3 3 3 3 3 2 3 52 4 3 2.5 3.5 4 4 3.1 3 1 1 1 1 4 3 2 3 NA NA 3 2 2 1 1 3 4 3 2.75 2.25 36 4
"153" 3 4 1 1 1 3 1 3 1 3 1 3 49 6.2 3.5 3.5 4.5 1.5 3.5 2.4 3.33333333333333 0 1 0 0 3 2 4 4 3 4 3 2 1 1 1 2 4 3.25 2.75 2.25 29 5
"154" 3 2 1 1 3 2 3 3 1 2 2 3 256 5.4 4.5 3.5 4.5 2 3 2.9 3.16666666666667 0 1 0 0 4 3 4 2 4 3 1 1 1 2 2 1 5 2 2.25 2.75 90 5
"155" 3 3 1 1 2 3 3 3 1 3 1 4 34 6 3 4.5 5 4 4 2.6 4.33333333333333 1 1 1 1 4 2 4 2 5 5 3 2 1 1 1 1 5 3.25 3 1.75 17 5
"156" 3 1 2 1 3 3 4 4 2 3 1 3 55 5.6 4 3.5 3 2 5 2.5 2.83333333333333 0 1 1 0 4 2 4 2 4 5 3 2 1 1 1 4 5 NA NA NA NA NA
"157" 3 3 1 1 2 3 1 4 1 3 1 3 44 5.4 4.5 4 4 2.5 5 2.7 4 0 1 0 0 3 2 2 2 NA NA 3 2 NA 1 2 3 5 3 3.5 2.25 31 5
"158" 4 2 1 1 1 4 2 4 1 3 1 4 32 5 4.5 4.5 3.5 4 3.5 2.6 3.66666666666667 0 1 1 0 3 3 4 2 NA NA 3 2 1 1 1 3 5 3.25 2.75 2 25 5
"159" 2 1 3 3 3 2 4 2 3 2 3 2 49 3.8 2 3 4.5 4 3.5 3 4 0 1 0 0 3 4 4 2 4 5 1 1 1 1 1 1 4 2.75 2 2.25 33 5
"160" 4 3 2 1 3 3 3 3 2 2 2 3 49 5.6 2.5 4 4 3.5 4.5 2.8 3.83333333333333 0 1 1 1 3 3 3 4 NA NA 1 2 1 1 1 2 4 3 2.75 2.25 64 4
"161" 4 2 3 1 1 3 2 4 2 3 1 2 66 4.8 2.5 4 4.5 3.5 3.5 2.6 3.66666666666667 1 1 0 0 3 2 5 2 5 5 3 2 1 1 1 4 5 3.5 2.5 2.75 47 5
"162" 4 2 2 1 2 2 2 3 3 3 1 3 29 6.2 4 4.5 3 2 4 3.2 4.33333333333333 0 0 1 0 4 1 5 3 NA NA 2 2 1 1 1 4 5 2.75 2.5 3 23 5
"163" 3 3 2 1 2 2 1 3 3 2 1 3 53 6 3 4 4.5 4 4 2.8 3.83333333333333 1 1 1 1 4 3 3 3 NA NA 3 2 2 1 1 2 5 3.25 3.25 2 36 5
"164" 3 2 2 1 1 2 3 3 2 3 2 3 48 6 4 3.5 4.5 2 3 2.1 3.83333333333333 1 0 0 0 4 2 4 3 NA NA 3 2 1 2 2 2 5 2.75 2.25 2.25 28 5
"165" 3 1 3 3 4 2 4 2 3 3 2 2 33 2.6 4 2 2.5 2.5 3 3.1 2.83333333333333 0 1 0 0 3 4 2 4 4 4 3 2 2 1 1 2 5 2.75 3.25 2.25 47 5
"166" 4 2 3 1 3 2 2 3 3 3 2 2 47 4.2 2 3 3 4 4.5 2.9 4.33333333333333 1 1 0 0 3 4 1 3 NA NA 3 2 2 2 1 1 5 3.25 2 2.5 30 5
"167" 3 2 3 2 3 2 3 2 3 2 3 2 74 4 2.5 3 2.5 5 5 2.6 2.83333333333333 0 1 0 0 3 3 4 2 NA NA 1 2 2 1 2 1 4 NA NA NA NA NA
"168" 3 2 2 3 2 3 3 3 3 3 2 3 46 3.2 3 2.5 2 3 4 2.3 3.5 0 0 0 0 4 3 1 1 NA NA 1 2 1 1 1 3 5 2.75 2.75 2.25 31 3
"169" 2 3 2 1 1 3 3 4 4 3 1 3 66 3.2 3 4 3 2 5 2.6 3.66666666666667 0 1 0 0 4 3 4 4 NA NA 3 2 2 2 1 4 4 3.25 2.5 2.25 30 5
"170" 4 4 1 1 1 4 1 4 1 4 1 3 25 7 4.5 4.5 5 3 5 2.3 3.5 0 1 0 0 4 2 4 2 NA NA 3 2 1 1 1 2 5 3.25 3 1.75 18 5
"171" 4 2 2 1 1 3 2 4 2 3 2 3 123 5.8 3 4.5 3 3.5 3.5 3.1 NA 1 0 0 0 4 3 4 4 5 5 3 2 1 1 1 3 5 3.25 3.25 2.5 30 5
"172" 4 3 1 1 3 4 2 4 1 4 1 4 36 6.6 5 3.5 4 2 4 2.9 4.16666666666667 1 1 1 0 3 3 2 3 NA NA 3 2 2 1 1 3 5 3.25 2.25 2 40 5
"173" 3 2 2 1 3 3 3 3 1 3 1 2 41 6.2 4 4.5 4 2.5 5 2.6 3.66666666666667 0 1 1 0 3 2 4 2 NA NA 1 2 2 1 2 4 5 3.25 2 3 26 5
"174" 4 3 1 1 1 3 3 3 2 3 2 3 32 5.4 5 4.5 4 2.5 3 2.4 3.5 0 1 0 0 3 2 1 1 NA NA 3 2 2 2 1 2 5 3.5 3 2 22 5
"175" 4 4 1 1 1 3 3 4 1 3 1 4 45 5 4.5 4.5 3 2 4.5 2.3 3.66666666666667 0 1 1 0 4 1 2 1 NA NA 3 2 2 1 3 3 5 3.25 3 1.75 18 5
"176" 2 1 4 3 4 2 3 2 4 2 2 2 21 4.2 1 4 5 5 5 2.4 4 0 1 0 0 4 4 4 2 4 5 1 2 1 2 2 2 5 3 2 2 29 5
"177" 2 3 2 2 2 3 2 3 3 3 2 3 110 3.2 2.5 2 2.5 2.5 5 2.4 4 0 1 0 0 3 3 1 3 4 4 1 2 2 2 1 2 4 2.75 2.75 2.25 37 4
"178" 3 3 1 1 1 3 1 3 2 3 1 2 37 4.8 4.5 2.5 3.5 3 4 2.4 3.83333333333333 0 1 0 0 3 3 5 2 3 5 2 2 1 2 1 2 5 2.5 2.75 2.75 32 5
"179" 3 3 4 2 3 1 3 3 4 2 3 2 58 4.4 4 3 3 4.5 3 3.1 2.66666666666667 0 1 1 0 3 4 4 2 NA NA 1 2 2 1 2 3 5 2.5 2.75 3 29 5
"180" 3 3 2 1 1 3 1 4 2 3 1 3 46 4 3.5 4.5 4.5 4 4 2.4 4.66666666666667 0 1 1 0 4 2 3 3 NA NA 3 2 1 2 2 2 5 3.25 3.5 1.25 27 5
"181" 3 2 2 1 1 3 2 3 1 3 1 2 24 5.6 2.5 4 4.5 4 3.5 2.8 3.5 0 1 0 1 3 2 2 3 4 4 3 2 1 2 1 2 5 NA NA NA NA NA
"182" 4 3 2 1 1 3 2 4 2 4 3 3 46 6.2 4 5 4 3.5 3.5 2.9 3.66666666666667 1 1 1 1 4 3 4 2 4 5 2 2 1 1 3 1 4 3 2.25 2.25 33 4
"183" 4 3 1 1 1 3 2 3 1 3 1 3 73 4.8 3.5 2.5 3.5 4.5 3.5 2.8 3.33333333333333 0 1 0 0 3 4 2 2 NA NA 3 2 2 2 1 2 4 3.25 3 1.75 26 5
"184" 4 3 1 1 2 3 2 3 2 4 1 2 41 4.8 5 4 4 3.5 4 2.6 3.5 0 1 1 0 3 3 2 3 NA NA 1 2 1 2 1 2 5 3.5 2.5 2.75 33 4
"185" 4 3 1 1 2 3 1 4 1 3 1 4 33 4.6 4.5 4 4 2.5 5 2.7 3.83333333333333 0 0 0 0 4 2 4 2 5 5 3 2 2 1 1 3 5 3.25 3 2.25 30 5
"186" 4 4 1 1 1 4 3 4 1 2 1 2 28 5.6 4.5 3.5 4 3 2.5 2.6 4.33333333333333 1 1 0 0 3 2 2 2 NA NA 2 2 2 1 2 3 5 NA NA NA NA NA
"187" 3 3 2 1 2 3 2 3 2 3 2 3 31 4.4 4 3.5 4 3 4 2.7 3.33333333333333 1 1 1 1 3 2 4 2 3 4 3 2 1 1 1 2 4 2.75 2.25 2 32 4
"188" 3 2 4 2 3 2 3 3 3 2 2 2 75 6 4.5 3 3 4 5 2.9 3.33333333333333 0 1 1 1 3 4 4 2 5 5 1 2 1 1 2 1 5 2.75 1.75 3.25 63 5
"189" 3 3 1 1 2 3 2 3 2 3 1 3 42 5 4 1.5 3 2.5 5 2.9 3.66666666666667 0 0 0 0 4 3 3 2 3 5 2 2 1 1 3 2 4 2.25 2 2.75 56 5
"190" 4 3 2 1 2 3 2 3 2 2 2 3 82 4.4 2.5 4.5 5 4 4.5 2.6 4.5 0 1 1 0 3 3 4 3 NA NA 3 2 1 2 1 2 5 3.25 3 2.25 47 5
"191" 4 3 2 1 3 4 3 4 2 3 1 4 37 5 4 4 3 3.5 3 2.2 4.33333333333333 0 0 0 0 3 3 3 4 NA NA 1 2 1 1 1 3 4 3 2.75 2.5 28 4
"192" 3 3 2 1 1 3 1 3 2 2 3 1 35 5.4 2 3 4 4.5 4.5 2.8 3 1 1 0 0 4 3 5 2 5 4 3 2 2 2 1 2 5 2.25 2.5 2.75 29 5
"193" 3 3 2 2 2 3 3 3 1 3 2 3 38 3.8 4.5 4 2.5 3 5 2.7 3.66666666666667 0 1 1 0 3 4 3 4 NA NA 3 2 2 1 2 1 4 2.75 2 2.5 27 4
"194" 3 2 2 1 3 3 3 3 1 3 1 3 38 3.6 4 3 2.5 1.5 3 3 4.16666666666667 0 1 1 0 3 2 4 2 NA NA 3 1 1 1 2 1 5 3.25 2.5 2.25 33 5
"195" 3 4 1 2 2 3 2 3 1 3 1 3 29 4.4 2 2.5 4.5 3.5 3.5 2.7 2.83333333333333 0 1 0 0 3 2 3 3 4 4 1 2 1 2 1 2 5 3.25 3.25 2 23 5
"196" 2 1 3 2 3 4 4 3 2 2 2 2 37 4 4 2.5 2 1.5 4 2.4 2.16666666666667 0 1 1 0 4 1 4 2 2 5 3 2 1 2 1 2 3 2.5 2.25 2.5 32 2
"197" 3 2 4 1 3 4 3 3 3 3 1 2 56 4.8 3.5 1.5 3 1.5 2 2.2 4 0 1 1 0 2 2 1 1 NA NA 3 2 2 1 2 1 5 3.25 2 2.5 43 5
"198" 2 4 2 2 1 2 1 2 2 4 2 2 54 4.6 3.5 4 4 5 3 2.7 3.66666666666667 0 0 0 1 3 2 4 2 NA NA 3 2 1 2 2 3 5 2.25 3.25 2.25 52 5
"199" 4 3 1 1 1 4 2 4 1 3 1 4 33 6.8 4 3 3.5 1 4.5 2.4 4.16666666666667 0 0 0 0 3 2 3 1 NA NA 1 2 1 2 2 1 5 3.25 2.5 2 26 5
"200" 3 1 2 1 1 1 2 3 3 4 1 2 74 4.2 3.5 2 3 3 3.5 2.8 3.83333333333333 0 1 0 0 4 3 2 2 NA NA 3 1 1 1 1 3 4 3 2.25 3 44 4
"201" 3 1 3 2 3 2 4 3 2 2 2 3 41 4.8 2.5 4 4 3.5 4 2.6 3.5 1 0 1 0 2 4 4 2 NA NA 3 2 1 1 1 1 5 2.75 1.75 2.25 40 5
"202" 2 2 3 3 3 2 4 2 4 2 2 2 55 2.6 4 3 3 3.5 5 2.2 4.16666666666667 1 1 1 0 4 3 1 1 4 4 1 2 2 1 1 1 5 2 2.25 3 26 5
"203" 3 3 3 1 1 3 2 3 1 2 1 3 37 3.4 2 4 3.5 3 3 2.3 3.5 0 1 0 0 3 3 1 2 3 3 3 2 1 2 1 3 5 3.25 3.25 2.25 25 5
"204" 2 2 4 2 2 2 2 2 4 3 3 2 148 5 2 2.5 2.5 4 4.5 2.7 3.16666666666667 0 1 0 0 3 2 4 2 3 5 2 2 2 2 1 3 4 3.25 2.5 2.25 49 3
"205" 2 3 2 3 1 3 2 2 4 2 3 3 46 3.8 4.5 2.5 3.5 2 5 3 3.16666666666667 0 1 0 0 4 2 4 4 4 5 2 2 2 2 1 2 5 NA NA NA NA NA
"206" 3 3 2 1 2 4 2 4 2 3 1 4 30 5.8 4.5 5 2.5 2.5 4.5 2.5 3.83333333333333 0 0 0 1 4 3 5 3 4 5 2 2 2 2 1 NA 4 3.25 3.25 1.75 32 5
"207" 3 2 2 1 2 3 3 3 1 3 1 3 38 4.4 5 3.5 3 4 4 2.7 3.83333333333333 0 1 1 0 3 3 5 1 NA NA 3 2 1 1 2 1 5 3.25 2.25 2.5 38 5
"208" 4 3 1 1 2 4 2 4 1 2 1 4 38 6.8 5 3.5 4.5 1.5 4 3 4.16666666666667 1 1 1 0 4 2 3 2 4 5 3 1 1 1 2 1 5 3.25 2.75 1.75 35 5
"209" 4 3 1 1 1 4 3 4 1 4 1 4 23 6.2 3 3.5 3.5 3 5 2.6 3.33333333333333 0 0 0 0 4 1 3 2 5 5 3 2 1 1 1 3 5 3 2.75 1.75 39 5
"210" 3 3 1 2 1 3 1 3 2 4 1 3 21 6 2 2 5 3 4 2.8 3.5 0 1 0 1 4 2 5 4 NA NA 1 2 1 1 1 3 5 3.5 2.5 1.75 21 5
"211" 4 3 1 1 2 3 2 4 2 4 1 3 26 5.8 4 5 4.5 3 4 2.7 3.33333333333333 0 1 1 0 4 3 4 1 3 4 3 2 1 2 1 3 5 3 2 2.5 96 5
