"mdbf1_pre","mdbf2_pre","mdbf3_pre","mdbf4_pre","mdbf5_pre","mdbf6_pre","mdbf7_pre","mdbf8_pre","mdbf9_pre","mdbf10_pre","mdbf11_pre","mdbf12_pre","lz","extra","vertr","gewis","neuro","offen","prok","nerd","grund","fach","ziel","wissen","therap","lerntyp","hand","job","ort","ort12","wohnen","uni1","uni2","uni3","uni4","attent_pre","gs_post","wm_post","ru_post","attent_post"
3,2,3,1,2,2,3,3,3,3,1,2,4.6,3.5,3.5,2.5,4,4,3,2.33333333333333,"Interesse am Thema",4,2,3,4,2,2,1,1,1,1,0,1,1,0,5,3.5,3,2,4
3,2,2,1,2,2,2,3,3,3,1,2,5.6,4,3.5,4,4,4,2.5,3,"Interesse an menschenbezogener Arbeit und an den psychischen Vorgängen im Menschen",4,2,4,5,3,2,2,1,2,1,0,1,1,0,5,NA,NA,NA,NA
2,2,3,3,3,2,2,2,3,2,3,1,4.2,3,3.5,2,4.5,4.5,3.2,3.33333333333333,"Interesse",4,3,5,4,3,2,2,1,1,3,1,1,1,0,5,NA,NA,NA,NA
4,2,2,1,2,3,3,4,2,2,1,3,4.2,3.5,4,2.5,4,4.5,2.8,3.16666666666667,"Interesse an Gründen für menschliches Handeln",1,1,4,5,3,2,2,2,1,2,0,1,1,0,6,4,2.25,3.25,6
3,2,1,4,2,4,4,3,2,3,1,3,6.2,3,3.5,4.5,3.5,4,2.3,4,"Mein Wunsch",3,1,5,5,3,2,1,1,2,1,0,1,0,0,5,3.75,4,3.25,5
1,2,2,3,2,2,3,2,2,2,3,1,3.2,2,1,4.5,2.5,5,2,3,"Berufsperspektive",4,2,4,5,1,2,2,1,1,4,0,1,0,0,6,3.25,2.25,3,6
2,2,3,2,3,2,3,2,3,2,2,1,4.2,2.5,3.5,4,4,4.5,2.7,3.83333333333333,NA,4,2,4,5,3,1,2,2,2,2,0,1,0,0,6,3.25,2.75,3.25,6
2,2,4,1,2,3,2,2,4,2,4,1,4.6,3.5,3,4.5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA
3,3,2,2,2,2,2,3,2,3,3,3,5.4,3.5,3.5,3.5,3.5,2.5,2.4,2.33333333333333,"Breites Berufsfeld, um aktiven Einfluss im Leben anderer zu haben und ihnen zu helfen",3,2,3,5,3,2,1,1,1,2,0,1,1,0,6,3,3.25,2.75,6
2,3,3,2,3,3,2,2,2,2,2,2,5.8,3,3.5,4,3,4,2.4,2.83333333333333,"Psychotherapeutin werden wollen",4,2,3,5,1,2,2,2,1,2,0,1,0,0,5,2.75,2.75,3,5
3,3,1,1,1,3,1,3,1,2,2,3,6,3,3,3,2,2,2.6,2.5,"Interesse an der Psychologie des Menschen",NA,2,3,4,NA,2,1,1,1,NA,0,1,0,0,5,NA,NA,NA,NA
3,3,1,2,2,3,2,3,1,2,1,3,5,2.5,5,3.5,5,4,2.8,2.66666666666667,NA,2,3,4,4,1,2,2,1,2,NA,0,1,1,0,5,3.25,2.25,3.5,6
2,2,2,1,3,3,4,4,2,2,2,3,3.6,3,3,4,1.5,4.5,2.1,2.33333333333333,"Verhaltensmuster vorhersagen ",4,2,3,4,3,2,1,2,1,2,0,1,0,0,5,3.75,2,3,4
3,3,2,1,3,2,3,3,3,2,3,2,6.2,4,2,3.5,4.5,5,2.2,3.16666666666667,NA,2,4,3,5,1,2,1,1,2,4,0,1,1,1,6,2,2.25,2,4
3,3,2,1,2,3,3,3,2,3,1,3,5,2.5,4,4,3.5,3,2.2,2.66666666666667,"Berufswunsch",4,4,4,5,3,2,2,1,2,3,0,1,0,0,5,3.25,2.25,3.25,6
3,3,3,1,1,3,2,3,2,3,2,2,3.8,2.5,4,3,4,4.5,3,3.5,"Mich hat die Psyche und das Verhalten von Menschen interessiert",1,1,3,5,3,2,2,1,2,1,0,1,1,0,5,3.25,3.25,3.25,6
3,2,1,1,2,2,3,3,2,3,2,2,5.8,4,5,4,4.5,4.5,1.6,3.5,"Interesse, Wunsch in diesem Feld beruflich tätig zu sein.",4,2,3,5,3,2,1,2,2,4,0,1,0,1,6,NA,NA,NA,NA
3,4,2,2,2,4,1,3,1,2,3,3,6.8,4.5,4,2.5,4,5,3.4,3.16666666666667,"Interesse",4,2,3,5,1,2,1,1,1,3,0,1,1,0,6,NA,NA,NA,NA
4,3,2,1,2,4,1,3,1,3,1,4,3.2,2,4,3,3.5,3.5,3.5,1.83333333333333,"menschliche Psyche und Verhalten verstehen",4,2,2,4,1,2,2,1,3,1,1,1,0,0,6,3.5,3,4,6
3,3,2,1,2,3,3,3,1,3,1,3,5.6,3.5,4,4,2.5,3.5,2.9,2.5,"Interesse",1,2,2,5,3,2,1,1,2,3,0,1,1,1,6,NA,NA,NA,NA
2,2,1,1,2,2,2,3,2,3,1,3,5.8,4,4,4,4,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA
3,2,3,1,2,3,3,2,2,2,1,3,4.6,2,3,3,2.5,4.5,2.2,4,"Interesse an Arbeit als Therapeut",4,2,3,5,3,2,1,2,1,2,0,1,1,0,5,3,2.5,3.5,6
4,3,1,1,2,3,2,4,1,4,1,3,5.4,4,5,4,4,4.5,2.3,3.66666666666667,"Interesse am Menschen",4,2,5,3,1,2,1,1,1,1,0,1,1,0,5,NA,NA,NA,NA
3,2,3,2,3,2,3,3,3,2,2,2,4.4,3,2.5,3,4.5,4.5,3.1,3.16666666666667,"Psychologie Unterricht in Schule hat Spaß gemacht",3,2,2,4,2,1,2,1,1,3,0,1,0,1,5,NA,NA,NA,NA
3,2,2,2,3,3,3,3,3,2,2,3,4.2,2.5,4,3,3,4,2.3,2.66666666666667,"Ich möchte Psychotherapeutin werden",4,2,3,2,3,2,1,1,1,3,0,1,1,0,5,NA,NA,NA,NA
4,4,3,1,1,1,2,3,3,4,3,3,4.4,2.5,3,3,3,3,2.4,3,"Ich habe meine Interesse an Leute zu behandeln ",1,2,3,3,3,2,2,1,1,3,1,0,0,0,5,NA,NA,NA,NA
2,3,1,2,2,3,1,3,1,2,1,2,5.4,4.5,2.5,4.5,2.5,2.5,2.1,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA
3,1,4,2,1,4,2,3,3,2,4,3,5,5,2.5,4,1,3,3.1,3.5,"platz bekommen",1,2,5,5,3,2,2,1,2,1,1,1,0,0,5,NA,NA,NA,NA
3,3,1,1,1,3,1,4,2,4,1,2,6.4,4,2.5,4.5,3.5,4.5,2,1.83333333333333,"Therapeutin werden, Arbeit mit Menschen, Interesse an Menschen",4,2,4,5,3,2,1,2,1,4,0,1,0,0,5,3.5,3.75,3,6
3,2,1,1,2,2,2,4,2,2,1,2,5.4,3,4.5,4,4,3.5,2.8,3.33333333333333,"Weil es sich mit meinen Interessen deckt.",3,3,4,4,1,2,2,2,1,2,0,1,0,0,4,4,3,3.5,5
3,2,1,2,3,2,4,3,2,2,1,3,4.2,2,3.5,4,5,2.5,2.4,3,"Interesse",2,2,3,5,3,2,1,2,2,2,0,1,0,0,6,3.25,2.5,3.25,6
3,3,2,1,2,3,3,4,2,3,1,3,2.8,2.5,3,2.5,4,4,2.9,4.16666666666667,"Karrieremöglichkeiten, tiefgründiges Interesse, Anerkennung",4,2,5,5,1,1,1,1,3,2,0,1,1,0,6,4,3.25,2.75,6
2,3,3,3,2,2,1,2,1,2,2,2,5.6,2.5,4,4.5,4.5,3,2.4,2.33333333333333,NA,NA,2,3,4,1,2,1,1,2,4,0,1,0,0,5,2.5,3.25,3.25,3
3,2,2,1,2,3,3,3,1,3,1,3,5,2.5,4,5,3.5,4,2.1,2.66666666666667,NA,NA,NA,4,4,NA,2,1,1,2,3,0,1,0,0,5,3.5,2.5,3.25,5
4,3,2,1,2,3,2,3,2,2,1,3,5.2,4,3.5,3.5,3.5,5,2.6,3.16666666666667,"Arbeit mit anderen Personen, Hilfe und Vertrauen schenken",4,2,4,5,3,2,2,2,1,2,0,1,0,0,5,3.25,3,3.5,6
